id,type,observedat,productionOrderId,productReference,productFamily,machineId,machineTonnage,mouldId,mouldCavities,materialType,materialBatchId,recycledContent,colorBatchId,colorName,injectedQuantity,plannedQuantity,scrapQuantity,defectiveQuantity,okQuantity,cycleTime,cycleTime_unitCode,injectionPressure,injectionPressure_unitCode,meltTemperature,meltTemperature_unitCode,unitWeight,unitWeight_unitCode,energyConsumption,energyConsumption_unitCode,operatorId,shiftCode,productionDate,startTime,endTime,qualityStatus,defectType,correctiveAction,observations
urn:ngsi-ld:circuloos:molto:PROD00001,molto_production,2026-02-01T07:00:00Z,PO-2026-0001,WHEEL-RED-120MM,wheels,MCH-007,180,MLD-WH120,4,PP,RPID-2026-00001,98.5,COL-RED-001,Ferrari Red,4850,5000,40,110,4850,18.5,SEC,850,BAR,225,CEL,42.3,GRM,148.7,KWH,OP-101,M,2026-02-01,2026-02-01T07:00:00Z,2026-02-01T15:00:00Z,OK,minor_flash,trimming,produccion estable
urn:ngsi-ld:circuloos:molto:PROD00002,molto_production,2026-02-02T07:30:00Z,PO-2026-0002,WHEEL-BLUE-120MM,wheels,MCH-007,180,MLD-WH120,4,PP,RPID-2026-00004,99.0,COL-BLUE-002,Cobalt Blue,4920,5000,30,50,4920,18.2,SEC,855,BAR,225,CEL,42.1,GRM,146.9,KWH,OP-101,M,2026-02-02,2026-02-02T07:30:00Z,2026-02-02T15:30:00Z,OK,none,none,sin incidencias
urn:ngsi-ld:circuloos:molto:PROD00003,molto_production,2026-02-03T08:00:00Z,PO-2026-0003,BODY-CHASSIS-A,chassis,MCH-012,320,MLD-CHA01,2,ASA,RPID-2026-00003,92.0,COL-WHITE-003,Pearl White,2980,3000,15,5,2980,32.0,SEC,1100,BAR,250,CEL,185.0,GRM,256.4,KWH,OP-205,M,2026-02-03,2026-02-03T08:00:00Z,2026-02-03T16:30:00Z,OK,none,none,sin incidencias
urn:ngsi-ld:circuloos:molto:PROD00004,molto_production,2026-02-04T07:15:00Z,PO-2026-0004,WHEEL-YELLOW-120MM,wheels,MCH-007,180,MLD-WH120,4,PP,RPID-2026-00006,97.5,COL-YELLOW-004,Sun Yellow,4750,5000,60,190,4750,18.8,SEC,860,BAR,228,CEL,42.5,GRM,151.2,KWH,OP-101,T,2026-02-04,2026-02-04T15:15:00Z,2026-02-04T23:15:00Z,WARNING,short_shot,parametros_ajustados,problema con tornillo de inyeccion al inicio
urn:ngsi-ld:circuloos:molto:PROD00005,molto_production,2026-02-05T07:45:00Z,PO-2026-0005,DOLL-HEAD-S,dolls,MCH-021,90,MLD-DLH01,8,PS,RPID-2026-00002,95.0,COL-PINK-005,Soft Pink,1980,2000,10,10,1980,12.5,SEC,620,BAR,210,CEL,28.4,GRM,82.6,KWH,OP-318,M,2026-02-05,2026-02-05T07:45:00Z,2026-02-05T13:45:00Z,OK,none,none,sin incidencias
urn:ngsi-ld:circuloos:molto:PROD00006,molto_production,2026-02-06T08:30:00Z,PO-2026-0006,DOLL-HEAD-S,dolls,MCH-021,90,MLD-DLH01,8,PS,RPID-2026-00005,90.0,COL-BEIGE-006,Skin Beige,1950,2000,12,38,1950,12.8,SEC,625,BAR,212,CEL,28.5,GRM,84.1,KWH,OP-318,M,2026-02-06,2026-02-06T08:30:00Z,2026-02-06T14:45:00Z,WARNING,sink_marks,reduccion_velocidad,humedad residual del lote PS detectada
urn:ngsi-ld:circuloos:molto:PROD00007,molto_production,2026-02-07T07:00:00Z,PO-2026-0007,WHEEL-GREEN-90MM,wheels,MCH-008,150,MLD-WH090,8,PP,RPID-2026-00008,98.0,COL-GREEN-007,Forest Green,5980,6000,15,5,5980,14.2,SEC,780,BAR,222,CEL,28.7,GRM,142.3,KWH,OP-102,M,2026-02-07,2026-02-07T07:00:00Z,2026-02-07T15:00:00Z,OK,none,none,sin incidencias
urn:ngsi-ld:circuloos:molto:PROD00008,molto_production,2026-02-08T09:00:00Z,PO-2026-0008,BODY-CHASSIS-B,chassis,MCH-012,320,MLD-CHA02,2,ASA,RPID-2026-00007,93.5,COL-RED-001,Ferrari Red,2900,3000,40,60,2900,32.5,SEC,1110,BAR,252,CEL,184.5,GRM,259.8,KWH,OP-205,T,2026-02-08,2026-02-08T15:00:00Z,2026-02-08T23:30:00Z,OK,minor_flash,trimming,produccion estable
urn:ngsi-ld:circuloos:molto:PROD00009,molto_production,2026-02-09T07:30:00Z,PO-2026-0009,WHEEL-RED-120MM,wheels,MCH-007,180,MLD-WH120,4,PP,RPID-2026-00010,99.2,COL-RED-001,Ferrari Red,4880,5000,30,90,4880,18.3,SEC,852,BAR,224,CEL,42.0,GRM,147.5,KWH,OP-101,M,2026-02-09,2026-02-09T07:30:00Z,2026-02-09T15:30:00Z,OK,none,none,sin incidencias
urn:ngsi-ld:circuloos:molto:PROD00010,molto_production,2026-02-10T08:15:00Z,PO-2026-0010,DOLL-HEAD-S,dolls,MCH-021,90,MLD-DLH01,8,PS,RPID-2026-00009,94.0,COL-WHITE-003,Pearl White,2000,2000,8,0,2000,12.4,SEC,618,BAR,210,CEL,28.3,GRM,82.1,KWH,OP-318,M,2026-02-10,2026-02-10T08:15:00Z,2026-02-10T14:00:00Z,OK,none,none,produccion exacta al plan
