id,type,observedat,rpid,inputWasteBatchId,materialType,polymerGrade,quantity,quantity_unitCode,recycledContent,virginContent,entryDate,recyclingDate,supplierId,supplierName,province,country,lerCode,nimaCode,wasteOrigin,processLine,operatorId,shiftCode,moistureLevel,contaminationLevel,bulkDensity,bulkDensity_unitCode,meltFlowIndex,meltFlowIndex_unitCode,batchStatus,qualityGrade,storageWarehouse,observations
urn:ngsi-ld:circuloos:plasnovo:RPID00001,plasnovo_recycling,2026-01-15T08:30:00Z,RPID-2026-00001,IWB-2026-0001,PP,PP-H-035,1250.5,KGM,98.5,1.5,2026-01-14,2026-01-15,B12345678,EcoPlastics SL,Alicante,ES,150102,4603000123,post-industrial,LINE-A,OP-014,M,0.42,low,0.55,KMQ,12.5,G2,APPROVED,A,WH-01,batch nominal sin incidencias
urn:ngsi-ld:circuloos:plasnovo:RPID00002,plasnovo_recycling,2026-01-16T09:15:00Z,RPID-2026-00002,IWB-2026-0002,PS,PS-GP-200,980.0,KGM,95.0,5.0,2026-01-15,2026-01-16,A87654321,Reciclados Levante SA,Valencia,ES,150102,4603000456,post-consumer,LINE-B,OP-022,T,0.85,medium,0.62,KMQ,8.2,G2,APPROVED,B,WH-02,humedad ligeramente alta tras lavado
urn:ngsi-ld:circuloos:plasnovo:RPID00003,plasnovo_recycling,2026-01-17T10:45:00Z,RPID-2026-00003,IWB-2026-0003,ASA,ASA-NAT-770,1500.75,KGM,92.0,8.0,2026-01-16,2026-01-17,B11223344,Polimeros Sureste SLU,Murcia,ES,150102,4603000789,post-industrial,LINE-A,OP-014,M,0.31,low,0.61,KMQ,15.8,G2,APPROVED,A,WH-01,lote premium para inyeccion fina
urn:ngsi-ld:circuloos:plasnovo:RPID00004,plasnovo_recycling,2026-01-18T07:20:00Z,RPID-2026-00004,IWB-2026-0004,PP,PP-C-042,2100.25,KGM,99.0,1.0,2026-01-17,2026-01-18,B12345678,EcoPlastics SL,Alicante,ES,150102,4603000123,post-industrial,LINE-A,OP-031,N,0.28,low,0.58,KMQ,11.0,G2,APPROVED,A,WH-01,batch consolidado de 3 entradas
urn:ngsi-ld:circuloos:plasnovo:RPID00005,plasnovo_recycling,2026-01-19T11:00:00Z,RPID-2026-00005,IWB-2026-0005,PS,PS-HI-450,750.5,KGM,90.0,10.0,2026-01-18,2026-01-19,A99887766,Plasticos del Mediterraneo SA,Castellon,ES,200139,4603000321,post-consumer,LINE-C,OP-045,T,1.05,medium,0.59,KMQ,7.4,G2,QUARANTINE,B,WH-03,pendiente revision por inclusiones metalicas
urn:ngsi-ld:circuloos:plasnovo:RPID00006,plasnovo_recycling,2026-01-20T13:30:00Z,RPID-2026-00006,IWB-2026-0006,PP,PP-H-035,1820.0,KGM,97.5,2.5,2026-01-19,2026-01-20,B55443322,Iberica de Reciclaje SL,Valencia,ES,150102,4603000456,post-industrial,LINE-A,OP-014,M,0.38,low,0.56,KMQ,12.1,G2,APPROVED,A,WH-01,sin observaciones
urn:ngsi-ld:circuloos:plasnovo:RPID00007,plasnovo_recycling,2026-01-21T08:00:00Z,RPID-2026-00007,IWB-2026-0007,ASA,ASA-NAT-770,1100.4,KGM,93.5,6.5,2026-01-20,2026-01-21,B11223344,Polimeros Sureste SLU,Murcia,ES,150102,4603000789,post-industrial,LINE-A,OP-031,N,0.29,low,0.62,KMQ,16.2,G2,APPROVED,A,WH-01,buena fluidez para piezas estructurales
urn:ngsi-ld:circuloos:plasnovo:RPID00008,plasnovo_recycling,2026-01-22T14:15:00Z,RPID-2026-00008,IWB-2026-0008,PP,PP-C-042,1950.8,KGM,98.0,2.0,2026-01-21,2026-01-22,B12345678,EcoPlastics SL,Alicante,ES,150102,4603000123,post-industrial,LINE-A,OP-014,T,0.35,low,0.57,KMQ,11.8,G2,APPROVED,A,WH-01,batch nominal sin incidencias
urn:ngsi-ld:circuloos:plasnovo:RPID00009,plasnovo_recycling,2026-01-23T09:50:00Z,RPID-2026-00009,IWB-2026-0009,PS,PS-GP-200,860.25,KGM,94.0,6.0,2026-01-22,2026-01-23,A87654321,Reciclados Levante SA,Valencia,ES,200139,4603000456,post-consumer,LINE-B,OP-022,M,0.78,medium,0.60,KMQ,8.0,G2,APPROVED,B,WH-02,humedad correcta tras secado adicional
urn:ngsi-ld:circuloos:plasnovo:RPID00010,plasnovo_recycling,2026-01-24T10:10:00Z,RPID-2026-00010,IWB-2026-0010,PP,PP-H-035,2250.0,KGM,99.2,0.8,2026-01-23,2026-01-24,B55443322,Iberica de Reciclaje SL,Castellon,ES,150102,4603000321,post-industrial,LINE-A,OP-014,N,0.25,low,0.55,KMQ,12.7,G2,APPROVED,A,WH-01,lote premium consolidado
